Set No,Code,Name,Cards,URL
71,grn,Guilds of Ravnica,273,https://scryfall.com/sets/grn
70,dom,Dominaria,280,https://scryfall.com/sets/dom
69,rix,Rivals of Ixalan,205,https://scryfall.com/sets/rix
68,xln,Ixalan,289,https://scryfall.com/sets/xln
67,hou,Hour of Devastation,209,https://scryfall.com/sets/hou
66,akh,Amonkhet,287,https://scryfall.com/sets/akh
65,aer,Aether Revolt,194,https://scryfall.com/sets/aer
64,kld,Kaladesh,274,https://scryfall.com/sets/kld
63,emn,Eldritch Moon,208,https://scryfall.com/sets/emn
62,soi,Shadows over Innistrad,297,https://scryfall.com/sets/soi
61,ogw,Oath of the Gatewatch,186,https://scryfall.com/sets/ogw
60,bfz,Battle for Zendikar,299,https://scryfall.com/sets/bfz
59,dtk,Dragons of Tarkir,264,https://scryfall.com/sets/dtk
58,frf,Fate Reforged,185,https://scryfall.com/sets/frf
57,ktk,Khans of Tarkir,269,https://scryfall.com/sets/ktk
56,jou,Journey into Nyx,165,https://scryfall.com/sets/jou
55,bng,Born of the Gods,165,https://scryfall.com/sets/bng
54,ths,Theros,249,https://scryfall.com/sets/ths
53,dgm,Dragon's Maze,156,https://scryfall.com/sets/dgm
52,gtc,Gatecrash,249,https://scryfall.com/sets/gtc
51,rtr,Return to Ravnica,274,https://scryfall.com/sets/rtr
50,avr,Avacyn Restored,244,https://scryfall.com/sets/avr
49,dka,Dark Ascension,158,https://scryfall.com/sets/dka
48,isd,Innistrad,264,https://scryfall.com/sets/isd
47,nph,New Phyrexia,175,https://scryfall.com/sets/nph
46,mbs,Mirrodin Besieged,155,https://scryfall.com/sets/mbs
45,som,Scars of Mirrodin,249,https://scryfall.com/sets/som
44,roe,Rise of the Eldrazi,248,https://scryfall.com/sets/roe
43,wwk,Worldwake,145,https://scryfall.com/sets/wwk
42,zen,Zendikar,269,https://scryfall.com/sets/zen
41,arb,Alara Reborn,145,https://scryfall.com/sets/arb
40,con,Conflux,145,https://scryfall.com/sets/con
39,ala,Shards of Alara,249,https://scryfall.com/sets/ala
38,eve,Eventide,180,https://scryfall.com/sets/eve
37,shm,Shadowmoor,301,https://scryfall.com/sets/shm
36,mor,Morningtide,150,https://scryfall.com/sets/mor
35,lrw,Lorwyn,301,https://scryfall.com/sets/lrw
34,fut,Future Sight,180,https://scryfall.com/sets/fut
33,plc,Planar Chaos,165,https://scryfall.com/sets/plc
32,tsp,Time Spiral,301,https://scryfall.com/sets/tsp
31,tsb,Time Spiral Timeshifted,121,https://scryfall.com/sets/tsb
30,csp,Coldsnap,155,https://scryfall.com/sets/csp
29,dis,Dissension,180,https://scryfall.com/sets/dis
28,gpt,Guildpact,165,https://scryfall.com/sets/gpt
27,rav,Ravnica: City of Guilds,306,https://scryfall.com/sets/rav
26,sok,Saviors of Kamigawa,165,https://scryfall.com/sets/sok
25,bok,Betrayers of Kamigawa,165,https://scryfall.com/sets/bok
24,chk,Champions of Kamigawa,307,https://scryfall.com/sets/chk
23,5dn,Fifth Dawn,165,https://scryfall.com/sets/5dn
22,dst,Darksteel,165,https://scryfall.com/sets/dst
21,mrd,Mirrodin,306,https://scryfall.com/sets/mrd
20,scg,Scourge,143,https://scryfall.com/sets/scg
19,lgn,Legions,145,https://scryfall.com/sets/lgn
18,ons,Onslaught,350,https://scryfall.com/sets/ons
17,jud,Judgment,143,https://scryfall.com/sets/jud
16,tor,Torment,143,https://scryfall.com/sets/tor
15,ody,Odyssey,350,https://scryfall.com/sets/ody
14,apc,Apocalypse,143,https://scryfall.com/sets/apc
13,pls,Planeshift,146,https://scryfall.com/sets/pls
12,inv,Invasion,350,https://scryfall.com/sets/inv
11,pcy,Prophecy,143,https://scryfall.com/sets/pcy
10,nem,Nemesis,143,https://scryfall.com/sets/nem
9,mmq,Mercadian Masques,350,https://scryfall.com/sets/mmq
8,uds,Urza's Destiny,143,https://scryfall.com/sets/uds
7,ulg,Urza's Legacy,143,https://scryfall.com/sets/ulg
6,usg,Urza's Saga,353,https://scryfall.com/sets/usg
5,exo,Exodus,143,https://scryfall.com/sets/exo
4,sth,Stronghold,143,https://scryfall.com/sets/sth
3,tmp,Tempest,350,https://scryfall.com/sets/tmp
2,wth,Weatherlight,167,https://scryfall.com/sets/wth
1,vis,Visions,167,https://scryfall.com/sets/vis
0,mir,Mirage,350,https://scryfall.com/sets/mir
