Set No,Code,Name,Cards,URL
0,2ED,Unlimited Edition,302,https://scryfall.com/sets/2ed
1,ARN,Arabian Nights,92,https://scryfall.com/sets/arn
2,ATQ,Antiquities,100,https://scryfall.com/sets/atq
3,3ED,Revised Edition,306,https://scryfall.com/sets/3ed
4,LEG,Legends,310,https://scryfall.com/sets/leg
5,DRK,The Dark,119,https://scryfall.com/sets/drk
6,FEM,Fallen Empires,187,https://scryfall.com/sets/fem
7,4ED,Fourth Edition,378,https://scryfall.com/sets/4ed
8,ICE,Ice Age,383,https://scryfall.com/sets/ice
9,HML,Homelands,140,https://scryfall.com/sets/hml
10,ALL,Alliances,199,https://scryfall.com/sets/all
11,MIR,Mirage,350,https://scryfall.com/sets/mir
12,VIS,Visions,167,https://scryfall.com/sets/vis
13,WTH,Weatherlight,167,https://scryfall.com/sets/wth
14,5ED,Fifth Edition,449,https://scryfall.com/sets/5ed
15,TMP,Tempest,350,https://scryfall.com/sets/tmp
16,STH,Stronghold,143,https://scryfall.com/sets/sth
17,EXO,Exodus,143,https://scryfall.com/sets/exo
18,USG,Urza’s Saga,350,https://scryfall.com/sets/usg
19,ULG,Urza’s Legacy,143,https://scryfall.com/sets/ulg
20,UDS,Urza’s Destiny,143,https://scryfall.com/sets/uds
21,6ED,Sixth Edition ,350,https://scryfall.com/sets/6ed
22,MMQ,Mercadian Masques,350,https://scryfall.com/sets/mmq
23,NEM,Nemesis,143,https://scryfall.com/sets/nem
24,PYC,Prophecy,143,https://scryfall.com/sets/pcy
25,INV,Invasion,350,https://scryfall.com/sets/inv
26,PLS,Planeshift,146,https://scryfall.com/sets/pls
27,7ED,Seventh Edition,350,https://scryfall.com/sets/7ed
28,APC,Apocalypse,143,https://scryfall.com/sets/apc
29,ODY,Odyssey,350,https://scryfall.com/sets/ody
30,TOR,Torment,143,https://scryfall.com/sets/tor
31,JUD,Judgment,143,https://scryfall.com/sets/jud
32,ONS,Onslaught,350,https://scryfall.com/sets/ons
33,LGN,Legions,145,https://scryfall.com/sets/lgn
34,SCG,Scourge,143,https://scryfall.com/sets/scg
35,8ED,Eighth Edition,357,https://scryfall.com/sets/8ed
36,MRD,Mirrodin,306,https://scryfall.com/sets/mrd
37,DST,Darksteel,165,https://scryfall.com/sets/dst
38,5DN,Fifth Dawn,165,https://scryfall.com/sets/5dn
39,CHK,Champions of Kamigawa,307,https://scryfall.com/sets/chk
40,BOK,Betrayers of Kamigawa,165,https://scryfall.com/sets/bok
41,SOK,Saviors of Kamigawa,165,https://scryfall.com/sets/sok
42,9ED,Ninth Edition,359,https://scryfall.com/sets/9ed
43,RAV,Ravnica: City of Guilds,306,https://scryfall.com/sets/rav
44,GPT,Guildpact,165,https://scryfall.com/sets/gpt
45,DIS,Dissension,180,https://scryfall.com/sets/dis
46,CSP,Coldsnap,155,https://scryfall.com/sets/csp
47,TSP,Time Spiral,301,https://scryfall.com/sets/tsp
48,PLC,Planar Chaos,165,https://scryfall.com/sets/plc
49,FUT,Future Sight,180,https://scryfall.com/sets/fut
50,10E,Tenth Edition,508,https://scryfall.com/sets/10e
